version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_before,metric_after,run_file
v0,team,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Measure starter behavior before optimization,Starter prompt intentionally guesses missing values and skips confirmation,,base=0.70,runs/v0_B_base_openrouter_20260602T132604766427.json
v1,team,system_prompt.md,not_recorded,not_recorded,not_recorded,Prepared scope clarification and confirmation guardrails before live keys were available,Explicit guardrails should reduce unsafe guesses and external actions,not_run,not_run,
v2,team,tools.yaml,not_recorded,not_recorded,not_recorded,Prepared precise tool boundaries and argument conventions before live keys were available,Descriptions visible at selection time should improve routing and args,not_run,not_run,
v3,team,system_prompt.md|source_audit|eval_group.json,not_recorded,not_recorded,not_recorded,Prepared multi-turn rules local source audit tool and group cases before live keys were available,Multi-turn overrides and explicit audit routing should cover added scenarios,not_run,not_run,
v4,team,integrated_candidate,v4+pa1481c243fa0+t7e2bec19146b,a1481c243fa0e6ea1bc9e2c03231244ea60d277e86584303b23db106243d5d44,7e2bec19146bc48ab8b2cc5ae81d3ef024e62f4da368e56de6161ffcc5f7c827,Run first integrated candidate after keys became available,Guardrails and declarations should improve baseline while group cases expose remaining gaps,base=0.70,base=0.90|group=0.80,runs/v4_B_base_openrouter_20260602T133052239632.json|runs/v4_B_group_openrouter_20260602T133137820543.json
v5,team,system_prompt.md|tools.yaml|tools/source_audit/tool.py,v5+p3ae22a1a3972+t3d6c9806036f,3ae22a1a3972e38e65ad3a2bb43efb2f9351801800d9ec35fb104956f4d5078d,3d6c9806036f392839a513d42b7cc4be891bc6ad624381500cdece2310be3aed,Fix blank tweet lookup publish confirmation and multi-URL audit batching,Explicit blank-arg rules yes-no boundary and one audit array should close base and group gaps,base=0.90|group=0.80,base=1.00|group=1.00|extension=0.70,runs/v5_B_base_openrouter_20260602T133401636072.json|runs/v5_B_group_openrouter_20260602T133440149638.json|runs/v5_B_extension_openrouter_20260602T133525623972.json
v6,team,system_prompt.md|tools.yaml,v6+p7164c6b0516d+taa89282e3332,7164c6b0516d74f831f9ed360b43b4991cf6043a7ff3fd471be65ddf80c8992e,aa89282e3332bfb5ce891ee0e58d470d4b1f498d9562627dbe38778f617bc749,Add narrow policy-area mapping and require every independent track in combined requests,Specific policy mappings and combined-request rules should close extension gaps without regressions,extension=0.70,base=1.00|group=1.00|extension=1.00,runs/v6_B_base_openrouter_20260602T133822391160.json|runs/v6_B_group_openrouter_20260602T133858489517.json|runs/v6_B_extension_openrouter_20260602T133703282134.json
v6-runtime,team,tools/_twitter.py|tools/_shared.py|scripts/preflight_tools.py|tests,v6+p7164c6b0516d+taa89282e3332,7164c6b0516d74f831f9ed360b43b4991cf6043a7ff3fd471be65ddf80c8992e,aa89282e3332bfb5ce891ee0e58d470d4b1f498d9562627dbe38778f617bc749,Harden runtime diagnostics retries and preflight coverage without changing prompt or declarations,Bounded retries improve transient API reliability while preflight separates external subscription blockers from code defects,Twitter=HTTPError|Tavily=ReadTimeout,non-Twitter-full-smoke=PASS|Twitter=external-access-blocker,
v7,team,system_prompt.md|tools.yaml|tools/workflow|eval_workflow_tools.json,v7+p68d769dc22d1+tad95477de294,68d769dc22d12a70c43ba3ecd381a350afd92add168c58ae881d0a908c9d9e14,ad95477de294dd0182898214419d95d3d3e8a27427911d5774cf760a1e1826b5,Add five deterministic local workflow tools and a dedicated routing suite,Explicit workflow-tool boundaries should route local post-processing requests without credentials,,workflow=0.60,runs/v7_B_cross_openrouter_20260602T142701606056.json
v9,team,system_prompt.md|tools.yaml,v9+pd62d67f47424+t4873b0eca0d9,d62d67f47424aa5b779899d5fb11de5d23e7b84b60cde949de1e65ba78dbe1ef,4873b0eca0d93fd8d3bbe6d0075468bdd3dbbff86bc7b17c02d016dc4125eab2,Clarify one-operation local routing and preserve complete citation text,More explicit declarations should close workflow mismatches,workflow=0.60,workflow=1.00,runs/v9_B_cross_openrouter_20260602T142925055290.json
